AMMO_ARROW_DYNAMITE,Arrow Dynamite
AMMO_ARROW_FIRE,Arrow Fire
AMMO_ARROW_POISON,Arrow Poison
AMMO_ARROW_SMALL_GAME,Arrow Small Game
CONSUMABLE_AGUARDIENTE,Aguardiente
CONSUMABLE_BREAD_CHUNK,Bread Chunk
CONSUMABLE_CANDY_BAG,Candy
CONSUMABLE_COCAINE_GUM,Cocaine Gum
CONSUMABLE_GOLD_BAR,Gold Bar
CONSUMABLE_GOLD_NECKLACE,Gold Necklace
CONSUMABLE_GOLD_NUGGET,Gold Nugget
CONSUMABLE_HERB_ACUNA_STAR_ORCHID,Acuna Star Orchid
CONSUMABLE_HERB_AGARITA,Agarita
CONSUMABLE_HERB_BAY_BOLETE,Bay Bolete
CONSUMABLE_HERB_BITTERWEED,Bitterweed
CONSUMABLE_HERB_BLACKBERRY,Blackberry
CONSUMABLE_HERB_BLOODFLOWER,Bloodflower
CONSUMABLE_HERB_BURDOCK_ROOT,Burdock Root
CONSUMABLE_HERB_CHANTERELLES,Chanterelles
CONSUMABLE_HERB_CIGAR_ORCHID,Cigar Orchid
CONSUMABLE_HERB_CLAMSHELL_ORCHID,Clamshell Orchid
CONSUMABLE_HERB_CREEK_PLUM,Creek Plum
CONSUMABLE_HERB_CREEPING_THYME,Creeping Thyme
CONSUMABLE_HERB_CURRANT,Currant
CONSUMABLE_HERB_DESERT_SAGE,Desert Sage
CONSUMABLE_HERB_DRAGONS_MOUTH_ORCHID,Dragons Mouth Orchid
CONSUMABLE_HERB_ENGLISH_MACE,English Mace
CONSUMABLE_HERB_GHOST_ORCHID,Ghost Orchid
CONSUMABLE_HERB_GINSENG,Ginseng
CONSUMABLE_HERB_HUMMINGBIRD_SAGE,Hummingbird Sage
CONSUMABLE_HERB_INDIAN_TOBACCO,Indian Tobacco
CONSUMABLE_HERB_LADYS_SLIPPER_ORCHID,Ladys Slipper Orchid
CONSUMABLE_HERB_LADY_OF_NIGHT_ORCHID,Lady Of Night Orchid
CONSUMABLE_HERB_MILKWEED,Milkweed
CONSUMABLE_HERB_MOCASSIN_FLOWER_ORCHID,Mocassin Flower Orchid
CONSUMABLE_HERB_NIGHT_SCENTED_ORCHID,Night Scented Orchid
CONSUMABLE_HERB_OLEANDER_SAGE,Oleander Sage
CONSUMABLE_HERB_OREGANO,Oregano
CONSUMABLE_HERB_PARASOL_MUSHROOM,Parasol Mushroom
CONSUMABLE_HERB_PRAIRIE_POPPY,Prairie Poppy
CONSUMABLE_HERB_QUEENS_ORCHID,Queens Orchid
CONSUMABLE_HERB_RAMS_HEAD,Rams Head
CONSUMABLE_HERB_RASPBERRY,Raspberry
CONSUMABLE_HERB_RAT_TAIL_ORCHID,Rat Tail Orchid
CONSUMABLE_HERB_RED_SAGE,Red Sage
CONSUMABLE_HERB_SAGE,Sage
CONSUMABLE_HERB_SPARROWS_EGG_ORCHID,Sparrows Egg Orchid
CONSUMABLE_HERB_SPIDER_ORCHID,Spider Orchid
CONSUMABLE_HERB_TEXAS_BLUEBONNET,Texas Bluebonnet
CONSUMABLE_HERB_VANILLA_FLOWER,Vanilla Flower
CONSUMABLE_HERB_VIOLET_SNOWDROP,Violet Snowdrop
CONSUMABLE_HERB_WILD_CARROT,Wild Carrot
CONSUMABLE_HERB_WILD_FEVERFEW,Wild Feverfew
CONSUMABLE_HERB_WILD_MINT,Wild Mint
CONSUMABLE_HERB_WINTERGREEN_BERRY,Wintergreen Berry
CONSUMABLE_HERB_YARROW,Yarrow
CONSUMABLE_METEORITE,Meteorite
CONSUMABLE_MOONSHINE,Moonshine
CONSUMABLE_PEARL_NECKLACE,Pearl Necklace
CONSUMABLE_PHEASANT,Pheasant
CONSUMABLE_PLATINUM_NECKLACE,Platinum Necklace
CONSUMABLE_POCKET_WATCH,Pocket Watch
CONSUMABLE_RABBIT,Rabbit
CONSUMABLE_ROASTED_PEANUTS,Roasted Peanuts
CONSUMABLE_SALMON,Salmon
CONSUMABLE_SILVER_NECKLACE,Silver Necklace
PROVISION_ANIMAL_CARCASS_BLUEJAY,Bluejay Carcass
PROVISION_ANIMAL_CARCASS_BLUEJAY_GOOD,Good Bluejay Carcass
PROVISION_ANIMAL_CARCASS_BLUEJAY_PERFECT,Perfect Bluejay Carcass
PROVISION_ANIMAL_CARCASS_BLUEJAY_POOR,Poor Bluejay Carcass
PROVISION_ANIMAL_CARCASS_CARDINAL,Cardinal Carcass
PROVISION_ANIMAL_CARCASS_CARDINAL_GOOD,Good Cardinal Carcass
PROVISION_ANIMAL_CARCASS_CARDINAL_PERFECT,Perfect Cardinal Carcass
PROVISION_ANIMAL_CARCASS_CARDINAL_POOR,Poor Cardinal Carcass
PROVISION_ANIMAL_CARCASS_CHICKEN,Chicken Carcass
PROVISION_ANIMAL_CARCASS_CHICKEN_GOOD,Good Chicken Carcass
PROVISION_ANIMAL_CARCASS_CHICKEN_PERFECT,Perfect Chicken Carcass
PROVISION_ANIMAL_CARCASS_CHICKEN_POOR,Poor Chicken Carcass
PROVISION_ANIMAL_CARCASS_CONDOR,Condor Carcass
PROVISION_ANIMAL_CARCASS_CONDOR_GOOD,Good Condor Carcass
PROVISION_ANIMAL_CARCASS_CONDOR_PERFECT,Perfect Condor Carcass
PROVISION_ANIMAL_CARCASS_CONDOR_POOR,Poor Condor Carcass
PROVISION_ANIMAL_CARCASS_CRANE,Crane Carcass
PROVISION_ANIMAL_CARCASS_CRANE_GOOD,Good Crane Carcass
PROVISION_ANIMAL_CARCASS_CRANE_PERFECT,Perfect Crane Carcass
PROVISION_ANIMAL_CARCASS_CRANE_POOR,Poor Crane Carcass
PROVISION_ANIMAL_CARCASS_CROW,Crow Carcass
PROVISION_ANIMAL_CARCASS_CROW_GOOD,Good Crow Carcass
PROVISION_ANIMAL_CARCASS_CROW_PERFECT,Perfect Crow Carcass
PROVISION_ANIMAL_CARCASS_CROW_POOR,Poor Crow Carcass
PROVISION_ANIMAL_CARCASS_DUCK,Duck Carcass
PROVISION_ANIMAL_CARCASS_DUCK_GOOD,Good Duck Carcass
PROVISION_ANIMAL_CARCASS_DUCK_PERFECT,Perfect Duck Carcass
PROVISION_ANIMAL_CARCASS_DUCK_POOR,Poor Duck Carcass
PROVISION_ANIMAL_CARCASS_EAGLE,Eagle Carcass
PROVISION_ANIMAL_CARCASS_EAGLE_GOOD,Good Eagle Carcass
PROVISION_ANIMAL_CARCASS_EAGLE_PERFECT,Perfect Eagle Carcass
PROVISION_ANIMAL_CARCASS_EAGLE_POOR,Poor Eagle Carcass
PROVISION_ANIMAL_CARCASS_EGRET,Egret Carcass
PROVISION_ANIMAL_CARCASS_EGRET_GOOD,Good Egret Carcass
PROVISION_ANIMAL_CARCASS_EGRET_PERFECT,Perfect Egret Carcass
PROVISION_ANIMAL_CARCASS_EGRET_POOR,Poor Egret Carcass
PROVISION_ANIMAL_CARCASS_GOOSE,Goose Carcass
PROVISION_ANIMAL_CARCASS_GOOSE_GOOD,Good Goose Carcass
PROVISION_ANIMAL_CARCASS_GOOSE_PERFECT,Perfect Goose Carcass
PROVISION_ANIMAL_CARCASS_GOOSE_POOR,Poor Goose Carcass
PROVISION_ANIMAL_CARCASS_GULL,Gull Carcass
PROVISION_ANIMAL_CARCASS_GULL_GOOD,Good Gull Carcass
PROVISION_ANIMAL_CARCASS_GULL_PERFECT,Perfect Gull Carcass
PROVISION_ANIMAL_CARCASS_GULL_POOR,Poor Gull Carcass
PROVISION_ANIMAL_CARCASS_HAWK,Hawk Carcass
PROVISION_ANIMAL_CARCASS_HAWK_GOOD,Good Hawk Carcass
PROVISION_ANIMAL_CARCASS_HAWK_PERFECT,Perfect Hawk Carcass
PROVISION_ANIMAL_CARCASS_HAWK_POOR,Poor Hawk Carcass
PROVISION_ANIMAL_CARCASS_HERON,Heron Carcass
PROVISION_ANIMAL_CARCASS_HERON_GOOD,Good Heron Carcass
PROVISION_ANIMAL_CARCASS_HERON_PERFECT,Perfect Heron Carcass
PROVISION_ANIMAL_CARCASS_HERON_POOR,Poor Heron Carcass
PROVISION_ANIMAL_CARCASS_LOON,Loon Carcass
PROVISION_ANIMAL_CARCASS_LOON_GOOD,Good Loon Carcass
PROVISION_ANIMAL_CARCASS_LOON_PERFECT,Perfect Loon Carcass
PROVISION_ANIMAL_CARCASS_LOON_POOR,Poor Loon Carcass
PROVISION_ANIMAL_CARCASS_OWL,Owl Carcass
PROVISION_ANIMAL_CARCASS_OWL_GOOD,Good Owl Carcass
PROVISION_ANIMAL_CARCASS_OWL_PERFECT,Perfect Owl Carcass
PROVISION_ANIMAL_CARCASS_OWL_POOR,Poor Owl Carcass
PROVISION_ANIMAL_CARCASS_PARROT,Parrot Carcass
PROVISION_ANIMAL_CARCASS_PARROT_GOOD,Good Parrot Carcass
PROVISION_ANIMAL_CARCASS_PARROT_PERFECT,Perfect Parrot Carcass
PROVISION_ANIMAL_CARCASS_PARROT_POOR,Poor Parrot Carcass
PROVISION_ANIMAL_CARCASS_PELICAN,Pelican Carcass
PROVISION_ANIMAL_CARCASS_PELICAN_GOOD,Good Pelican Carcass
PROVISION_ANIMAL_CARCASS_PELICAN_PERFECT,Perfect Pelican Carcass
PROVISION_ANIMAL_CARCASS_PELICAN_POOR,Poor Pelican Carcass
PROVISION_ANIMAL_CARCASS_PHEASANT,Pheasant Carcass
PROVISION_ANIMAL_CARCASS_PHEASANT_GOOD,Good Pheasant Carcass
PROVISION_ANIMAL_CARCASS_PHEASANT_PERFECT,Perfect Pheasant Carcass
PROVISION_ANIMAL_CARCASS_PHEASANT_POOR,Poor Pheasant Carcass
PROVISION_ANIMAL_CARCASS_PIGEON,Pigeon Carcass
PROVISION_ANIMAL_CARCASS_PIGEON_GOOD,Good Pigeon Carcass
PROVISION_ANIMAL_CARCASS_PIGEON_PERFECT,Perfect Pigeon Carcass
PROVISION_ANIMAL_CARCASS_PIGEON_POOR,Poor Pigeon Carcass
PROVISION_ANIMAL_CARCASS_QUAIL,Quail Carcass
PROVISION_ANIMAL_CARCASS_QUAIL_GOOD,Good Quail Carcass
PROVISION_ANIMAL_CARCASS_QUAIL_PERFECT,Perfect Quail Carcass
PROVISION_ANIMAL_CARCASS_QUAIL_POOR,Poor Quail Carcass
PROVISION_ANIMAL_CARCASS_RAVEN,Raven Carcass
PROVISION_ANIMAL_CARCASS_RAVEN_GOOD,Good Raven Carcass
PROVISION_ANIMAL_CARCASS_RAVEN_PERFECT,Perfect Raven Carcass
PROVISION_ANIMAL_CARCASS_RAVEN_POOR,Poor Raven Carcass
PROVISION_ANIMAL_CARCASS_ROBIN,Robin Carcass
PROVISION_ANIMAL_CARCASS_ROBIN_GOOD,Good Robin Carcass
PROVISION_ANIMAL_CARCASS_ROBIN_PERFECT,Perfect Robin Carcass
PROVISION_ANIMAL_CARCASS_ROBIN_POOR,Poor Robin Carcass
PROVISION_ANIMAL_CARCASS_ROOSTER,Rooster Carcass
PROVISION_ANIMAL_CARCASS_ROOSTER_GOOD,Good Rooster Carcass
PROVISION_ANIMAL_CARCASS_ROOSTER_PERFECT,Perfect Rooster Carcass
PROVISION_ANIMAL_CARCASS_ROOSTER_POOR,Poor Rooster Carcass
PROVISION_ANIMAL_CARCASS_SONGBIRD,Songbird Carcass
PROVISION_ANIMAL_CARCASS_SONGBIRD_GOOD,Good Songbird Carcass
PROVISION_ANIMAL_CARCASS_SONGBIRD_PERFECT,Perfect Songbird Carcass
PROVISION_ANIMAL_CARCASS_SONGBIRD_POOR,Poor Songbird Carcass
PROVISION_ANIMAL_CARCASS_SPOONBILL,Spoonbill Carcass
PROVISION_ANIMAL_CARCASS_SPOONBILL_GOOD,Good Spoonbill Carcass
PROVISION_ANIMAL_CARCASS_SPOONBILL_PERFECT,Perfect Spoonbill Carcass
PROVISION_ANIMAL_CARCASS_SPOONBILL_POOR,Poor Spoonbill Carcass
PROVISION_ANIMAL_CARCASS_TURKEY,Turkey Carcass
PROVISION_ANIMAL_CARCASS_TURKEY_GOOD,Good Turkey Carcass
PROVISION_ANIMAL_CARCASS_TURKEY_PERFECT,Perfect Turkey Carcass
PROVISION_ANIMAL_CARCASS_TURKEY_POOR,Poor Turkey Carcass
PROVISION_ANIMAL_CARCASS_VULTURE,Vulture Carcass
PROVISION_ANIMAL_CARCASS_VULTURE_GOOD,Good Vulture Carcass
PROVISION_ANIMAL_CARCASS_VULTURE_PERFECT,Perfect Vulture Carcass
PROVISION_ANIMAL_CARCASS_VULTURE_POOR,Poor Vulture Carcass
PROVISION_ANIMAL_CARCASS_WOODPECKER,Woodpecker Carcass
PROVISION_ANIMAL_CARCASS_WOODPECKER_GOOD,Good Woodpecker Carcass
PROVISION_ANIMAL_CARCASS_WOODPECKER_PERFECT,Perfect Woodpecker Carcass
